id,created_at,author_id,text
755897830619934720,2016-07-20T22:51:01.000Z,34144971,"I Disapprove of What You Say, But I Will Defend to the Death Your Right to Say It - Voltaire
#FreeSpeech #FreeMilo
https://t.co/XUMNgZLSD5"
755897492944728065,2016-07-20T22:49:40.000Z,50498002,.@Twitter ban Greek #British #MiloYiannopoulos Trolling  #American female #LeslieJones https://t.co/JNB5aS1Nq6 #smh https://t.co/tNIwlBhArX
755897069504638976,2016-07-20T22:47:59.000Z,2894939896,@burneybean your shoes are gayer than Milo Yiannopoulos #freemilo
755895782822248449,2016-07-20T22:42:53.000Z,20836452,@realDonaldTrump PLEASE invite Milo Yiannopoulos to speak at RNC. He's on the very front-line of our culture war. #freemilo #miloarmy
755895532908867584,2016-07-20T22:41:53.000Z,2736754719,I liked a @YouTube video https://t.co/ZvQKYXz7dd #FreeMilo Milo Yiannopoulos talks to CNBC about his Twitter Suspension
755895066825203713,2016-07-20T22:40:02.000Z,509336582,I liked a @YouTube video https://t.co/2pFKoGuWES #FreeMilo Milo Yiannopoulos talks to CNBC about his Twitter Suspension
755894740332089344,2016-07-20T22:38:44.000Z,722970901516427264,Milo Yiannopoulos Vows to Make Twitter Bosses ‘Wish They’d Never Started Company’ After Lifetime Ban. #FreeMilo  https://t.co/3dD3OfHPnF
755894188714196992,2016-07-20T22:36:33.000Z,3951400894,"Milo Yiannopoulos Talks About His Twitter Ban on RSBN with Wayne Dupree &amp; Crew our beloved Milo, miss you #FreeMilo https://t.co/9KnPhruu07"
755893833762738176,2016-07-20T22:35:08.000Z,18536526,I liked a @YouTube video from @stefanmolyneux https://t.co/NxcoQwmXea Twitter Bans Milo Yiannopoulos #FreeMilo | Mike Cernovich and
755893779228483584,2016-07-20T22:34:55.000Z,4528323921,"#FreeMilo? Milo Yiannopoulos, King of Trolls, Called for Mass Censorship in a 2012 Essay https://t.co/kqQcJ6E7Si"
